profit_target_pct,stop_loss_pct,max_hold_hours,total_trades,win_rate,avg_profit_pct,median_profit_pct,max_profit_pct,min_profit_pct,std_profit_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,avg_hold_time_hours,initial_capital,final_capital,total_return_pct,profit_target_hits,stop_loss_hits,max_hold_exits,end_of_data_exits
20,5,12,143,23.78,-0.22,-5.0,20.0,-5.0,8.88,14.34,-4.76,-0.025,3.7,2000.0,870.47,-56.48,20,101,22,0
50,25,2,143,45.45,0.13,-0.37,50.0,-25.0,12.68,9.0,-7.27,0.01,1.94,2000.0,829.52,-58.52,4,6,133,0
30,10,2,143,41.96,-0.18,-1.56,30.0,-10.0,9.99,8.41,-6.39,-0.018,1.63,2000.0,799.55,-60.02,8,39,96,0
5,20,12,143,68.53,-0.23,5.0,5.0,-20.0,8.7,4.95,-11.51,-0.026,3.99,2000.0,795.96,-60.2,96,16,31,0
30,20,2,143,45.45,-0.05,-0.37,30.0,-20.0,11.08,8.35,-7.06,-0.005,1.9,2000.0,793.57,-60.32,8,10,125,0
5,15,6,143,63.64,-0.34,5.0,5.41,-15.0,7.7,4.84,-9.39,-0.044,2.22,2000.0,785.45,-60.73,86,25,32,0
5,15,12,143,65.73,-0.32,5.0,5.0,-15.0,7.96,4.95,-10.44,-0.041,3.29,2000.0,773.92,-61.3,92,27,24,0
100,10,2,143,41.96,-0.18,-1.56,54.01,-10.0,10.52,8.42,-6.39,-0.017,1.67,2000.0,768.99,-61.55,0,39,104,0
100,20,2,143,45.45,-0.05,-0.37,54.01,-20.0,11.56,8.36,-7.06,-0.004,1.95,2000.0,763.24,-61.84,0,10,133,0
50,15,2,143,44.06,-0.04,-0.64,50.0,-15.0,12.02,8.74,-6.96,-0.003,1.84,2000.0,749.55,-62.52,4,21,118,0
5,10,24,143,60.84,-0.44,5.0,5.0,-10.0,6.94,4.94,-8.8,-0.063,3.84,2000.0,744.06,-62.8,86,46,11,0
5,25,4,143,63.64,-0.31,5.0,5.0,-25.0,8.31,4.67,-9.02,-0.037,1.93,2000.0,741.42,-62.93,84,7,52,0
25,25,2,143,45.45,-0.08,-0.37,25.0,-25.0,11.22,8.55,-7.27,-0.007,1.87,2000.0,730.23,-63.49,13,6,124,0
20,20,2,143,45.45,-0.17,-0.37,20.0,-20.0,10.3,8.08,-7.06,-0.017,1.82,2000.0,727.31,-63.63,16,10,117,0
5,25,6,143,66.43,-0.29,5.0,5.41,-25.0,8.78,4.84,-10.44,-0.032,2.61,2000.0,713.74,-64.31,90,8,45,0
20,10,2,143,41.96,-0.34,-1.56,20.0,-10.0,9.06,8.03,-6.39,-0.038,1.56,2000.0,697.03,-65.15,14,39,90,0
100,5,4,143,28.67,-0.4,-5.0,65.15,-5.0,8.99,9.59,-4.41,-0.044,2.28,2000.0,695.54,-65.22,0,84,59,0
20,5,48,143,20.28,-0.34,-5.0,20.0,-5.0,9.38,17.53,-4.89,-0.036,6.38,2000.0,689.64,-65.52,24,111,0,8
20,5,24,143,22.38,-0.37,-5.0,20.0,-5.0,9.19,15.39,-4.91,-0.04,5.04,2000.0,678.91,-66.05,23,108,11,1
10,10,4,143,44.76,-0.42,-1.31,10.0,-10.0,8.32,7.88,-7.15,-0.05,2.09,2000.0,666.72,-66.66,47,46,50,0
25,15,2,143,44.06,-0.26,-0.64,25.0,-15.0,10.43,8.26,-6.96,-0.025,1.77,2000.0,653.23,-67.34,12,21,110,0
5,10,48,143,61.54,-0.52,5.0,5.0,-10.0,7.05,4.94,-9.27,-0.074,5.34,2000.0,651.86,-67.41,87,49,0,7
